icd10,icd9
C482,1589
C488,1588
C490,1710
C491,1712
C492,1713
C493,1714
C494,1715
C495,1716
C496,1717
C498,1718
C499,1719
C500,1740
C501,1741
C502,1742
C503,1743
C504,1744
C505,1745
C506,1746
C508,1748
C509,1749
C510,1841
C511,1842
C512,1843
C518,1848
C519,1844
C52,1840
C530,1800
C531,1801
C538,1808
C539,1809
C540,1821
C541,1820
C542,1820
C543,1820
C548,1828
C549,1820
C55,179
C56,1830
C570,1832
C571,1833
C572,1835
C573,1834
C574,1839
C577,1848
C578,1848
C579,1849
C58,181
C600,1871
C601,1872
C602,1873
C608,1878
C609,1874
C61,185
C620,1860
C621,1869
C629,1869
C630,1875
C631,1876
C632,1877
C637,1878
C638,1878
C639,1879
C64,1890
C65,1891
C66,1892
C670,1880
C671,1881
C672,1882
C673,1883
C674,1884
C675,1885
C676,1886
C677,1887
C678,1888
C679,1889
C680,1893
C681,1894
C688,1898
C689,1899
C690,1903
C691,1904
C692,1905
C693,1906
C694,1900
C695,1902
C696,1901
C698,1908
C699,1909
C700,1921
C701,1923
C709,1921
C710,1910
C711,1911
C712,1912
C713,1913
C714,1914
C715,1915
C716,1916
C717,1917
C718,1918
C719,1919
C720,1922
C721,1922
C722,1920
C723,1920
C724,1920
C725,1920
C728,1928
C729,1929
C73,193
C740,1940
C741,1940
C749,1940
C750,1941
C751,1943
C752,1943
C753,1944
C754,1945
C755,1946
C758,1948
C759,1949
C760,1950
C761,1951
C762,1952
C763,1953
C764,1954
C765,1955
C767,1958
C768,1958
C770,1960
C771,1961
C772,1962
C773,1963
C774,1965
C775,1966
C778,1968
C779,1969
C780,1970
C781,1971
C782,1972
C783,1973
C784,1974
C785,1975
C786,1976
C787,1977
C788,1978
C790,1980
C791,1981
C792,1982
C793,1983
C794,1984
C795,1985
C796,1986
C797,1987
C7981,19881
C7982,19882
C7988,19889
C80,1991
C810,20140
C811,20150
C812,20160
C813,20170
C817,20100
C819,20190
C820,20200
C821,20200
C822,20000
C827,20200
C829,20200
C830,20010
C831,20010
C832,20080
C833,20000
C834,20080
C835,20280
C836,20020
C837,20020
C838,20280
C839,20280
C840,20210
C841,20220
C842,20080
C843,20080
C844,20280
C845,20280
C850,20010
C851,20280
C857,20230
C859,20280
C8800,2733
C8801,2733
C8810,2732
C8811,2732
C8820,2732
C8821,2732
C8830,20380
C8831,20381
C8870,20380
C8871,20381
C8890,20380
C8891,20381
C9000,20300
C9001,20301
C9010,20310
C9011,20311
C9020,2386
C9021,2386
C9100,20400
C9101,20401
C9110,20410
C9111,20411
C9120,20420
C9121,20421
C9130,20490
C9131,20491
C9140,20240
C9141,20241
C9150,20890
C9151,20891
C9170,20480
